issuer,invoice_n,billed_to,mobile,address,date,email,data,subtotal,tax,total
Summers PLC,19207,CRYSTAL STEELE,+1-904-546-7869,"267 Jones Burgs Apt. 827, Fleminghaven, MI 14230",10/04/2021,johnnylewis@example.org,"[[""Progressive well-modulated core"", 3, 19.95, 59.85], [""Synchronized client-driven throughput"", 2, 75.5, 151.0], [""Multi-tiered object-oriented workforce"", 3, 94.66, 283.98], [""Enterprise-wide system-worthy groupware"", 5, 65.57, 327.85]]",822.68,82.27,904.95
"Perez, Waters and Harris",94121,CHASE KAUFMAN,001-389-369-1525x0951,"5222 Arthur Forest Suite 814, Evanston, RI 80212",05/08/2019,lyonsbrandon@example.com,"[[""Polarized web-enabled artificial intelligence"", 5, 89.82, 449.1]]",449.1,44.91,494.01
"Santos, Phillips and Williams",82912,DAVID HERRERA,613-945-7748x93273,"0271 Olsen Isle Apt. 307, Port Jerry, TN 47782",15/09/2018,mathewclark@example.org,"[[""Multi-tiered composite task-force"", 4, 47.49, 189.96], [""Reactive heuristic project"", 4, 65.45, 261.8]]",451.76,45.18,496.94
"Smith, Ford and Velazquez",84880,KEVIN HOOD,001-485-211-8819x160,"261 Parker Isle Suite 661, Hamptonton, VI 35253",31/10/2021,baileyreginald@example.com,"[[""Pre-emptive actuating approach"", 5, 16.18, 80.9]]",80.9,8.09,88.99
Rodriguez Inc,57827,JODI SWANSON,(246)680-3330,"1271 Reeves Rest, Jonesland, MP 78713",18/08/2019,bblair@example.com,"[[""Ergonomic neutral collaboration"", 2, 66.24, 132.48]]",132.48,13.25,145.73
Gonzalez-Banks,25608,KYLE SOLOMON,+1-448-606-8352x2917,"77325 Andrew Turnpike Suite 806, Smithside, MP 03195",08/06/2019,leslie32@example.net,"[[""Proactive uniform initiative"", 1, 64.17, 64.17], [""Versatile client-driven architecture"", 3, 65.67, 197.01], [""Face-to-face 5thgeneration artificial intelligence"", 4, 42.44, 169.76], [""Horizontal web-enabled budgetary management"", 5, 23.98, 119.9], [""Enterprise-wide object-oriented secured line"", 1, 12.97, 12.97]]",563.81,56.38,620.19
Eaton-Mcintyre,14865,LAUREN MURRAY,138-080-5434x47002,"419 Bright Stravenue, Lake Hayley, KS 64627",30/05/2018,eduardo74@example.org,"[[""Reverse-engineered needs-based attitude"", 5, 41.89, 209.45], [""Right-sized multi-tasking Graphical User Interface"", 4, 41.68, 166.72], [""User-friendly national structure"", 2, 74.68, 149.36], [""Streamlined intangible emulation"", 1, 70.89, 70.89], [""Versatile responsive attitude"", 1, 76.02, 76.02]]",672.44,67.24,739.68
"Hodges, Smith and Allen",20119,JAMES DECKER,+1-326-825-6260,"0155 Maria Union, Mejiamouth, ND 69005",29/09/2021,susanquinn@example.org,"[[""Re-contextualized intermediate service-desk"", 2, 89.86, 179.72], [""Reverse-engineered foreground Local Area Network"", 3, 33.84, 101.52], [""Pre-emptive uniform encryption"", 5, 88.27, 441.35]]",722.59,72.26,794.85
"Glass, Brandt and Keller",30512,BRITTANY ROSARIO,219.625.8491x95740,"832 Sara Trace, Reynoldsberg, CT 69379",08/09/2019,paula29@example.com,"[[""Polarized holistic synergy"", 3, 38.4, 115.2], [""Reverse-engineered encompassing Internet solution"", 2, 65.26, 130.52], [""User-friendly next generation superstructure"", 3, 43.11, 129.33], [""Ameliorated leadingedge customer loyalty"", 5, 21.09, 105.45]]",480.5,48.05,528.55
Love Inc,71708,CONNIE NGUYEN,+1-140-481-9517x81029,"324 Scott Fall, Kimstad, NJ 00894",14/11/2020,parkerrachel@example.com,"[[""Optional web-enabled approach"", 4, 92.78, 371.12], [""Synergistic human-resource methodology"", 2, 57.01, 114.02], [""Horizontal 24hour framework"", 2, 88.78, 177.56]]",662.7,66.27,728.97
Johnson-Fox,49783,VIRGINIA BANKS,392.567.0079x61754,"6488 Monica Lock, New Eric, MN 03396",11/04/2019,edwardsashley@example.org,"[[""Centralized object-oriented initiative"", 2, 96.57, 193.14], [""Stand-alone cohesive core"", 4, 44.95, 179.8], [""Programmable regional migration"", 1, 52.15, 52.15]]",425.09,42.51,467.6
Duffy-Simmons,71649,DANIEL CHERRY,999.555.7032,"87247 Brad Mount Apt. 134, Port Lindseyview, SD 67822",21/05/2022,nolanmelissa@example.net,"[[""Devolved leadingedge extranet"", 1, 35.9, 35.9], [""Synergized bifurcated firmware"", 1, 55.78, 55.78], [""Grass-roots multi-tasking product"", 5, 64.48, 322.4], [""Self-enabling 24hour monitoring"", 5, 69.58, 347.9], [""Universal mobile time-frame"", 1, 10.91, 10.91]]",772.89,77.29,850.18
Lambert-Stewart,18074,EDWARD LIN,443.531.7730,"301 Davis Rue, Shaunchester, NH 52424",21/07/2018,colonkelly@example.org,"[[""Proactive national emulation"", 1, 79.01, 79.01], [""Front-line background array"", 1, 18.45, 18.45]]",97.46,9.75,107.21
Mitchell-Mccoy,30575,ALEX RILEY,622-222-8720,"10900 Kevin Locks, Ashleetown, TX 56155",02/08/2022,johncurtis@example.org,"[[""Robust bandwidth-monitored methodology"", 2, 50.14, 100.28], [""Secured optimizing benchmark"", 1, 78.34, 78.34]]",178.62,17.86,196.48
"Moore, George and Cantrell",57990,CHRISTOPHER PERRY,062.088.5424x716,"67240 Derek Creek, New Jennifertown, ND 88656",20/09/2018,jason04@example.org,"[[""Innovative incremental array"", 2, 69.73, 139.46], [""Cross-platform needs-based solution"", 1, 55.27, 55.27], [""Face-to-face maximized data-warehouse"", 1, 36.17, 36.17]]",230.9,23.09,253.99
"Williams, Montgomery and Reynolds",70230,MICHAEL GRAY,+1-314-365-5099,"5485 Sarah Ville Suite 994, North Alyssa, NC 27122",10/04/2022,richard98@example.com,"[[""Upgradable transitional moderator"", 3, 50.48, 151.44], [""Enterprise-wide non-volatile algorithm"", 1, 87.89, 87.89], [""Intuitive static interface"", 5, 15.83, 79.15], [""Visionary mission-critical conglomeration"", 3, 14.06, 42.18]]",360.66,36.07,396.73
Stephens-Flowers,76535,DOUGLAS BROWN,414.705.2506,"22553 James Avenue, New Kevintown, MS 64326",16/01/2022,stevenshort@example.org,"[[""Multi-lateral eco-centric hardware"", 3, 12.62, 37.86]]",37.86,3.79,41.65
"Andrade, Barrett and Leonard",66307,DAVID ROBERTSON,+1-193-168-2321x95377,"365 Jenkins Union, South Tiffanymouth, AZ 00700",19/06/2019,vshah@example.net,"[[""Exclusive reciprocal open architecture"", 3, 92.57, 277.71], [""Diverse next generation archive"", 5, 74.41, 372.05], [""Face-to-face motivating Local Area Network"", 3, 98.06, 294.18], [""Quality-focused value-added capacity"", 1, 74.7, 74.7], [""User-friendly real-time firmware"", 1, 99.96, 99.96]]",1118.6,111.86,1230.46
"Hall, Hall and Grant",56203,CARL AGUIRRE,924.737.5761x91957,"01271 Johnson Drive, Jordanburgh, VT 91810",22/03/2022,marc29@example.com,"[[""Compatible national monitoring"", 3, 50.01, 150.03], [""Universal upward-trending archive"", 5, 68.15, 340.75], [""Proactive actuating capability"", 3, 75.58, 226.74], [""Decentralized hybrid attitude"", 1, 29.91, 29.91]]",747.43,74.74,822.17
"Williams, Murphy and Collins",16394,JOSEPH BEARD,001-869-099-9675x2726,"79865 Thompson Villages Suite 298, West Lauren, NE 49325",20/09/2020,kellypatricia@example.net,"[[""Grass-roots client-driven structure"", 2, 83.97, 167.94], [""Customer-focused 4thgeneration attitude"", 1, 82.85, 82.85], [""Versatile empowering customer loyalty"", 2, 22.6, 45.2], [""Profound actuating interface"", 5, 89.41, 447.05]]",743.04,74.3,817.34
Yoder Ltd,54620,CALVIN CASEY,+1-131-547-0387x729,"6912 Simmons Heights, North Frank, AL 39610",28/10/2022,melissa79@example.net,"[[""Open-architected regional hierarchy"", 3, 34.27, 102.81], [""Multi-lateral solution-oriented synergy"", 4, 48.52, 194.08], [""Persevering optimal flexibility"", 4, 21.3, 85.2], [""Optional tertiary circuit"", 5, 72.51, 362.55]]",744.64,74.46,819.1
"Brown, Hopkins and Duarte",85411,LARRY GARDNER,(330)615-9029,"257 Amanda Loaf, Perkinsborough, PA 74719",26/08/2022,oli@example.org,"[[""Visionary bi-directional adapter"", 5, 86.21, 431.05]]",431.05,43.11,474.16
"Jensen, Romero and Murphy",95269,KEVIN SANCHEZ,+1-181-270-6713x1705,"824 Suarez Roads, Humphreyside, MS 36254",16/03/2021,rodriguezstephen@example.net,"[[""Open-source zero administration toolset"", 1, 84.44, 84.44], [""Reactive modular secured line"", 4, 94.63, 378.52], [""Business-focused stable initiative"", 3, 27.39, 82.17], [""Open-source tangible focus group"", 2, 24.85, 49.7]]",594.83,59.48,654.31
"Garcia, Campbell and Campbell",78729,SHARON PETERS,235-354-5759x87197,"566 Marcus Throughway, East Elizabethburgh, VI 82543",09/10/2022,npatterson@example.org,"[[""Secured client-driven analyzer"", 2, 24.84, 49.68], [""Enhanced bifurcated data-warehouse"", 2, 77.06, 154.12]]",203.8,20.38,224.18
Lane-Harris,30695,SUSAN HARRISON,(415)870-7613x45914,"543 Vaughan Stravenue Suite 343, Port Robert, ID 13160",01/11/2019,madisonsmith@example.net,"[[""Polarized leadingedge projection"", 5, 64.43, 322.15], [""Optimized 6thgeneration synergy"", 4, 77.23, 308.92], [""Object-based fault-tolerant forecast"", 3, 36.08, 108.24], [""Integrated value-added Graphical User Interface"", 5, 87.24, 436.2], [""Fully-configurable encompassing approach"", 2, 49.63, 99.26]]",1274.77,127.48,1402.25
"Vincent, Haney and Lee",20512,MATTHEW FLOYD,(838)204-7240x45579,"PSC 2470, Box 9272, APO AP 03144",20/04/2019,kirbycynthia@example.com,"[[""Fully-configurable interactive paradigm"", 5, 26.98, 134.9]]",134.9,13.49,148.39
Brown and Sons,71908,MICHAEL MILLER,001-922-970-2828x298,"25451 Miranda Knoll Apt. 655, Josephchester, MD 43476",25/03/2023,terrellbradley@example.net,"[[""Proactive uniform collaboration"", 5, 58.63, 293.15], [""Implemented uniform portal"", 5, 91.45, 457.25], [""Persevering 24hour encoding"", 4, 12.32, 49.28], [""Vision-oriented tangible synergy"", 2, 60.19, 120.38], [""Front-line executive customer loyalty"", 2, 13.72, 27.44]]",947.5,94.75,1042.25
"Hill, Smith and Lopez",29119,MEGAN WEBSTER,+1-299-981-3803,"842 James Plain Suite 552, Lake Shellyburgh, OR 51347",06/05/2022,phillipsrhonda@example.com,"[[""Configurable bifurcated middleware"", 5, 11.22, 56.1]]",56.1,5.61,61.71
"Johnson, Wilson and Hernandez",72766,WHITNEY BUSH,(902)331-7405x0683,"2885 Meyer Vista, Lake Oscarfurt, OR 95050",01/01/2020,elizabethhorne@example.org,"[[""Universal executive flexibility"", 1, 13.01, 13.01], [""Sharable multi-tasking capability"", 4, 58.44, 233.76]]",246.77,24.68,271.45
Mcdonald Inc,39835,TIMOTHY GARZA,+1-054-385-2382x24610,"17899 Schmidt Roads, Lisahaven, HI 94548",24/06/2019,armstrongkristen@example.net,"[[""Intuitive optimizing policy"", 5, 71.19, 355.95], [""Compatible static project"", 5, 18.88, 94.4], [""Synergistic exuding framework"", 4, 51.93, 207.72], [""Innovative content-based protocol"", 1, 65.25, 65.25]]",723.32,72.33,795.65
Williams-Armstrong,39383,JEFF WARD,001-331-022-1150x8977,"9648 Gabriel Mission Apt. 037, New Linda, WV 01135",02/09/2018,heather56@example.org,"[[""Customer-focused solution-oriented workforce"", 5, 83.39, 416.95]]",416.95,41.7,458.65
Porter Ltd,69750,DEBORAH SCHULTZ,001-799-891-9969x63885,"2493 Paul Shoals Suite 565, South Joshua, LA 13430",22/05/2018,erika81@example.com,"[[""Polarized tangible success"", 1, 15.31, 15.31]]",15.31,1.53,16.84
"Harrison, Bell and Gonzalez",60021,MARIAH BROWN,383.118.0618,"74158 Sanders Points Suite 254, Port James, MD 89740",22/12/2019,elizabeth46@example.com,"[[""Realigned solution-oriented archive"", 5, 23.09, 115.45], [""Managed high-level toolset"", 1, 29.27, 29.27], [""Cross-group mission-critical open system"", 1, 57.12, 57.12], [""Up-sized background superstructure"", 1, 36.17, 36.17]]",238.01,23.8,261.81
Whitaker and Sons,45888,LISA JONES,719.826.7633x4055,"511 Karen Mount, West Jackshire, MI 71129",16/11/2022,hkirby@example.com,"[[""Multi-channeled discrete Graphic Interface"", 1, 29.42, 29.42], [""Balanced holistic projection"", 5, 33.1, 165.5], [""Horizontal value-added protocol"", 3, 30.0, 90.0]]",284.92,28.49,313.41
"Golden, Mccarthy and Yu",31901,NATALIE RHODES,6134642175,"45745 Michael Village, East Douglas, ID 35064",04/11/2018,cohentracy@example.org,"[[""Function-based 24/7 ability"", 2, 83.0, 166.0], [""Monitored neutral software"", 3, 59.06, 177.18], [""Synchronized motivating capability"", 4, 32.84, 131.36], [""Proactive object-oriented monitoring"", 3, 48.55, 145.65]]",620.19,62.02,682.21
Curry-Campos,56973,SHERRY STUART,528-918-4784x952,"4424 Hannah Shoals, Lake Susanborough, PA 45940",24/06/2022,brownjoseph@example.com,"[[""Decentralized multi-state toolset"", 5, 97.66, 488.3], [""Persevering systematic policy"", 3, 74.19, 222.57], [""Configurable coherent implementation"", 1, 37.18, 37.18]]",748.05,74.8,822.85
Moreno-Hancock,96519,MARK BEAN,933-270-0201,"6263 Little Lane Suite 986, West Charlesville, LA 18592",01/03/2021,kennethwhite@example.net,"[[""Synergistic 5thgeneration secured line"", 5, 84.07, 420.35], [""Integrated non-volatile Graphic Interface"", 2, 88.4, 176.8], [""Reduced tertiary support"", 1, 13.4, 13.4], [""Synergized incremental help-desk"", 5, 96.29, 481.45]]",1092.0,109.2,1201.2
Lindsey Group,81466,MRS. TARA SMITH PHD,+1-925-771-1357x42216,"32595 Rodriguez Shores Suite 413, New Caroline, NC 83184",26/02/2021,smithdeborah@example.com,"[[""Secured 6thgeneration firmware"", 2, 98.11, 196.22], [""Cross-platform regional system engine"", 3, 70.51, 211.53], [""Multi-channeled hybrid leverage"", 1, 24.82, 24.82]]",432.57,43.26,475.83
Chen-Robinson,70210,RYAN BRADY,025.765.6667,"6824 Gallegos Viaduct, New Randymouth, MO 95999",04/10/2021,nataliesimpson@example.org,"[[""Cross-group even-keeled task-force"", 5, 50.79, 253.95], [""Synchronized fault-tolerant knowledgebase"", 1, 45.13, 45.13], [""Managed regional archive"", 5, 45.17, 225.85]]",524.93,52.49,577.42
Pearson Inc,78440,ELIJAH GAY,001-708-220-0223x403,"624 Thomas Light, West Victoria, OH 76181",19/01/2023,brownmelissa@example.org,"[[""Versatile well-modulated implementation"", 4, 69.65, 278.6], [""Face-to-face real-time hierarchy"", 3, 97.63, 292.89], [""Programmable intermediate process improvement"", 4, 87.71, 350.84], [""De-engineered multi-tasking projection"", 1, 28.79, 28.79]]",951.12,95.11,1046.23
Garcia and Sons,24150,CARLY NGUYEN MD,780.873.9878x7026,"743 Smith Estate Suite 514, Meredithside, AL 58450",18/11/2018,kdavila@example.net,"[[""Programmable intangible utilization"", 1, 61.47, 61.47], [""Monitored multi-state concept"", 5, 83.56, 417.8], [""Grass-roots intermediate definition"", 4, 50.14, 200.56], [""Assimilated stable hub"", 1, 36.78, 36.78], [""Devolved 24hour function"", 1, 94.44, 94.44]]",811.05,81.11,892.16
"Chang, Garcia and Thompson",62311,JUAN TURNER,7024714646,"35535 Jason Parks Apt. 086, Alvarezfort, PR 40423",12/06/2022,nguyenmelissa@example.com,"[[""Right-sized background hub"", 1, 76.91, 76.91]]",76.91,7.69,84.6
"Mcdonald, Walker and Farmer",49990,JASON GAMBLE,212-031-4002x990,"196 Martinez Wells, Melindaport, VI 13733",06/02/2019,morganjennings@example.org,"[[""Pre-emptive executive Graphic Interface"", 4, 17.99, 71.96], [""Progressive empowering encoding"", 2, 49.5, 99.0], [""Networked 24/7 Internet solution"", 2, 62.67, 125.34], [""Managed zero tolerance superstructure"", 4, 58.85, 235.4], [""Public-key tangible methodology"", 4, 40.17, 160.68]]",692.38,69.24,761.62
"Palmer, Drake and Ross",20630,TERRANCE PENA,310.322.6443,"33145 Hoover Court, Blackburntown, AR 60350",06/12/2019,adam10@example.com,"[[""Triple-buffered secondary throughput"", 3, 14.28, 42.84], [""Future-proofed fault-tolerant knowledge user"", 5, 95.26, 476.3], [""Multi-lateral interactive service-desk"", 1, 57.1, 57.1], [""Extended multimedia help-desk"", 1, 49.41, 49.41], [""Cross-platform asynchronous customer loyalty"", 2, 22.18, 44.36]]",670.01,67.0,737.01
Parker Group,46620,VERONICA WILLIAMS,001-802-559-1219x205,"92640 Kevin Creek Suite 710, Danielborough, MS 22557",28/05/2018,murraygarrett@example.org,"[[""Cross-platform interactive info-mediaries"", 5, 42.37, 211.85], [""Fundamental optimal info-mediaries"", 1, 35.39, 35.39], [""Function-based systemic structure"", 1, 60.54, 60.54], [""Polarized 24hour process improvement"", 5, 41.25, 206.25]]",514.03,51.4,565.43
Wilson-Campbell,53603,NATALIE DAVIS,(309)144-2779x746,"60656 Julie Pine, East Danielle, MI 43917",08/08/2022,hillkevin@example.com,"[[""Reverse-engineered multi-state groupware"", 2, 69.01, 138.02], [""Fundamental actuating neural-net"", 4, 72.12, 288.48], [""Robust foreground strategy"", 2, 32.36, 64.72], [""Compatible multi-state throughput"", 5, 80.98, 404.9], [""Cloned asynchronous array"", 4, 44.25, 177.0]]",1073.12,107.31,1180.43
Nicholson-Chambers,59519,CURTIS NELSON,001-871-211-0013x6079,"595 Schneider Square Apt. 036, East John, OK 26616",23/08/2018,dakota50@example.org,"[[""Team-oriented directional pricing structure"", 5, 94.95, 474.75], [""Reactive demand-driven frame"", 2, 42.92, 85.84]]",560.59,56.06,616.65
"Clark, Murphy and Estrada",22827,AMBER BUTLER,7050649875,"65734 Hall Orchard, Susanmouth, NH 07685",25/01/2019,erichmond@example.net,"[[""Persistent non-volatile monitoring"", 4, 51.28, 205.12], [""Fully-configurable even-keeled strategy"", 4, 35.94, 143.76], [""Universal directional process improvement"", 3, 13.08, 39.24], [""Virtual bi-directional contingency"", 4, 12.98, 51.92], [""Sharable demand-driven monitoring"", 1, 89.95, 89.95]]",529.99,53.0,582.99
